== deliver 响应解析 (0x0002D800 ~ 0x0002DAFF) ==
  0002D800: cld      
  0002D801: or       eax, 0x10e07d83
  0002EF7F: xor      eax, eax
  0002EF81: cmp      byte ptr [esi + 0x112], al
  0002EF87: setne    al
  0002EF8A: push     eax
  0002EF8B: movzx    eax, byte ptr [esi + 0x111]
  0002EF92: push     eax
  0002EF93: push     dword ptr [esi + 0xfc]
  0002EF99: movzx    eax, byte ptr [esi + 0x12c]
  0002EFA0: push     dword ptr [esi + 0xf8]
  0002EFA6: push     dword ptr [esi + 0x224]
  0002EFAC: push     dword ptr [ecx + 0x88]
  0002EFB2: push     eax
  0002EFB3: push     dword ptr [ecx + 0x28]
  0002EFB6: lea      eax, [ebp - 0xec]
  0002EFBC: push     dword ptr [ebp - 0x28]
  0002EFBF: push     dword ptr [ecx + 0x90]
  0002EFC5: push     dword ptr [ecx + 0x94]
  0002EFCB: push     dword ptr [esi + 0x74]
  0002EFCE: push     dword ptr [esi + 0x70]
  0002EFD1: push     dword ptr [esi + 0x24]
  0002EFD4: push     dword ptr [esi + 0x20]
  0002EFD7: push     dword ptr [esi + 0x64]
  0002EFDA: push     dword ptr [esi + 8]
  0002EFDD: push     dword ptr [esi + 0x5c]
  0002EFE0: push     0x1005b330  ; 'SUCC'
  0002EFE5: push     dword ptr [esi + 0x128]
  0002EFEB: push     dword ptr [esi + 0x124]
  0002EFF1: push     eax
  0002EFF2: push     edx
  0002EFF3: push     0x1005b338 <==
  0002EFF8: lea      eax, [ebp - 0x4f0]
  0002EFFE: push     0x1ff
  0002F003: push     eax
  0002F004: call     dword ptr [0x10053318]  ; MSVCR120.dll!_snprintf
  0002F00A: mov      ebx, dword ptr [0x10053360]  ; MSVCR120.dll!??3@YAXPAX@Z
  0002F010: add      esp, 0x78
  0002F013: cmp      dword ptr [ebp - 0x2c], 0x10
  0002F017: jb       0x2f021
  0002F019: push     dword ptr [ebp - 0x40]
  0002F01C: call     ebx
  0002F01E: add      esp, 4
  0002F021: mov      dword ptr [ebp - 4], 0xffffffff
  0002F028: cmp      dword ptr [ebp - 0x10], 0x10
  0002F02C: mov      dword ptr [ebp - 0x2c], 0xf
  0002F033: mov      dword ptr [ebp - 0x30], 0
  0002F03A: mov      byte ptr [ebp - 0x40], 0
  0002F03E: jb       0x2f048
  0002F040: push     dword ptr [ebp - 0x24]
  0002F043: call     ebx
  0002F045: add      esp, 4
  0002F048: cmp      byte ptr [ebp - 0x4f0], 0
  0002F04F: mov      dword ptr [ebp - 0x2c], 0xf
  0002F056: mov      dword ptr [ebp - 0x30], 0
  0002F05D: mov      byte ptr [ebp - 0x40], 0
  0002F061: jne      0x2f067
  0002F063: xor      ecx, ecx
  0002F065: jmp      0x2f079
  0002F067: lea      ecx, [ebp - 0x4f0]
  0002F06D: lea      edx, [ecx + 1]
  0002F070: mov      al, byte ptr [ecx]
  0002F072: inc      ecx
  0002F073: test     al, al
  0002F075: jne      0x2f070
  0002F077: sub      ecx, edx
  0002F079: push     ecx
  0002F07A: lea      eax, [ebp - 0x4f0]
  0002F080: push     eax
  0002F081: lea      ecx, [ebp - 0x40]
  0002F084: call     0x4010
  0002F089: mov      dword ptr [ebp - 4], 1
  0002F090: lea      ecx, [ebp - 0xa4]
  0002F096: push     0xd
  0002F098: push     0x1005b454  ; 'P2P_DOWN_FILE'
